iter	Passed	Remaining
0	1	173
1	3	166
2	5	183
3	6	166
4	8	163
5	9	155
6	11	148
7	12	142
8	13	141
9	15	140
10	17	145
11	20	152
12	22	150
13	23	146
14	25	143
15	26	139
16	28	136
17	29	133
18	31	132
19	32	130
20	35	133
21	37	131
22	38	127
23	39	125
24	40	122
25	41	119
26	43	116
27	44	114
28	46	112
29	47	111
30	50	112
31	52	110
32	53	108
33	54	106
34	56	104
35	57	102
36	58	99
37	60	99
38	62	97
39	66	99
40	67	97
41	68	94
42	70	93
43	71	91
44	72	89
45	74	87
46	76	85
47	78	84
48	81	84
49	82	82
50	83	80
51	84	78
52	86	76
53	87	74
54	88	72
55	90	70
56	92	69
57	94	68
58	96	66
59	97	65
60	98	63
61	100	61
62	101	59
63	102	57
64	104	56
65	105	54
66	107	53
67	110	51
68	112	50
69	113	48
70	114	46
71	116	45
72	117	43
73	119	41
74	122	40
75	124	39
76	126	37
77	128	36
78	129	34
79	130	32
80	132	31
81	133	29
82	135	27
83	136	26
84	139	24
85	141	23
86	142	21
87	144	19
88	145	18
89	147	16
90	148	14
91	150	13
92	151	11
93	153	9
94	155	8
95	157	6
96	158	4
97	159	3
98	161	1
99	162	0
